,conformer,molecule_name,xyz,xyz_reduced,atom_index,attached_atom,neighboring_atoms,fragment,netcharge,multiplicity,smiles_orig,smiles_reduced
0,-4.xyz,C#C_COC,"13

C      2.169160    2.651340    1.202890
C      2.979610    2.984750    0.364660
H      1.449390    2.355230    1.947320
H      3.699380    3.280860   -0.379780
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      2.169160    2.651340    1.202890
C      2.979610    2.984750    0.364660
H      3.699380    3.280860   -0.379780
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
",2,C,"['C', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3660>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])([H])OC([H])([H])[H].[H]CC
1,-4.xyz,C#C_COC,"13

C      2.169160    2.651340    1.202890
C      2.979610    2.984750    0.364660
H      1.449390    2.355230    1.947320
H      3.699380    3.280860   -0.379780
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      2.169160    2.651340    1.202890
C      2.979610    2.984750    0.364660
H      1.449390    2.355230    1.947320
H      3.699380    3.280860   -0.379780
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
",9,C,"['O', 'H', 'H', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D39E0>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])OC([H])([H])[H].[H]CC[H]
2,-6.xyz,C#C_COC,"13

C      2.017000    2.553800    1.288530
C      2.827450    2.887220    0.450290
H      1.297230    2.257690    2.032960
H      3.547220    3.183320   -0.294140
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      2.017000    2.553800    1.288530
C      2.827450    2.887220    0.450290
H      3.547220    3.183320   -0.294140
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
",2,C,"['C', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3510>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])([H])OC([H])([H])[H].[H]CC
3,-6.xyz,C#C_COC,"13

C      2.017000    2.553800    1.288530
C      2.827450    2.887220    0.450290
H      1.297230    2.257690    2.032960
H      3.547220    3.183320   -0.294140
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      2.017000    2.553800    1.288530
C      2.827450    2.887220    0.450290
H      1.297230    2.257690    2.032960
H      3.547220    3.183320   -0.294140
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
",12,C,"['O', 'H', 'H', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3C80>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])OC([H])([H])[H].[H]CC[H]
4,0.xyz,C#C_COC,"13

C      2.473480    2.846410    1.031610
C      3.283930    3.179830    0.193380
H      1.753710    2.550300    1.776050
H      4.003700    3.475940   -0.551050
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      2.473480    2.846410    1.031610
C      3.283930    3.179830    0.193380
H      4.003700    3.475940   -0.551050
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
",2,C,"['C', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3A50>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])([H])OC([H])([H])[H].[H]CC
5,0.xyz,C#C_COC,"13

C      2.473480    2.846410    1.031610
C      3.283930    3.179830    0.193380
H      1.753710    2.550300    1.776050
H      4.003700    3.475940   -0.551050
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      2.473480    2.846410    1.031610
C      3.283930    3.179830    0.193380
H      1.753710    2.550300    1.776050
H      4.003700    3.475940   -0.551050
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
",10,C,"['O', 'H', 'H', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3970>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])OC([H])([H])[H].[H]CC[H]
6,9.xyz,C#C_COC,"13

C      3.158190    3.285330    0.646250
C      3.968650    3.618750   -0.191980
H      2.438430    2.989220    1.390680
H      4.688420    3.914860   -0.936420
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      3.158190    3.285330    0.646250
C      3.968650    3.618750   -0.191980
H      2.438430    2.989220    1.390680
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
",3,C,"['C', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3970>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])([H])OC([H])([H])[H].[H]CC
7,9.xyz,C#C_COC,"13

C      3.158190    3.285330    0.646250
C      3.968650    3.618750   -0.191980
H      2.438430    2.989220    1.390680
H      4.688420    3.914860   -0.936420
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.516410    1.725040    0.752100
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
","12

C      3.158190    3.285330    0.646250
C      3.968650    3.618750   -0.191980
H      2.438430    2.989220    1.390680
H      4.688420    3.914860   -0.936420
C     -0.866810    1.834960    1.792170
O      0.160280    1.549550    2.720760
C      0.608210    0.217030    2.571050
H     -1.180070    2.880820    1.949190
H     -1.741720    1.179710    1.939760
H     -0.203660   -0.507370    2.751930
H      1.021660    0.037960    1.564270
H      1.404970    0.045320    3.314220
",9,C,"['O', 'H', 'H', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3E40>,0,,[H]C([H])([H])OC([H])([H])[H].[H]CC[H],[H]C([H])OC([H])([H])[H].[H]CC[H]
8,-4.xyz,C#C_CSC,"13

C      2.630130    3.353590   -0.317350
C      2.301840    2.432910    0.400440
H      2.921680    4.171240   -0.954830
H      2.010300    1.615260    1.037910
C     -0.479200    1.908480    1.923500
S      0.363550    0.334530    1.690700
C      0.086550    0.154660   -0.079230
H     -0.405510    2.181120    2.989730
H     -1.545760    1.839260    1.650970
H     -0.013800    2.708050    1.322930
H     -0.989750    0.115650   -0.317270
H      0.542210    0.984440   -0.645310
H      0.553140   -0.790620   -0.403800
","12

C      2.630130    3.353590   -0.317350
C      2.301840    2.432910    0.400440
H      2.921680    4.171240   -0.954830
C     -0.479200    1.908480    1.923500
S      0.363550    0.334530    1.690700
C      0.086550    0.154660   -0.079230
H     -0.405510    2.181120    2.989730
H     -1.545760    1.839260    1.650970
H     -0.013800    2.708050    1.322930
H     -0.989750    0.115650   -0.317270
H      0.542210    0.984440   -0.645310
H      0.553140   -0.790620   -0.403800
",3,C,"['C', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3EB0>,0,,[H]C([H])([H])SC([H])([H])[H].[H]CC[H],[H]C([H])([H])SC([H])([H])[H].[H]CC
9,-4.xyz,C#C_CSC,"13

C      2.630130    3.353590   -0.317350
C      2.301840    2.432910    0.400440
H      2.921680    4.171240   -0.954830
H      2.010300    1.615260    1.037910
C     -0.479200    1.908480    1.923500
S      0.363550    0.334530    1.690700
C      0.086550    0.154660   -0.079230
H     -0.405510    2.181120    2.989730
H     -1.545760    1.839260    1.650970
H     -0.013800    2.708050    1.322930
H     -0.989750    0.115650   -0.317270
H      0.542210    0.984440   -0.645310
H      0.553140   -0.790620   -0.403800
","12

C      2.630130    3.353590   -0.317350
C      2.301840    2.432910    0.400440
H      2.921680    4.171240   -0.954830
H      2.010300    1.615260    1.037910
C     -0.479200    1.908480    1.923500
S      0.363550    0.334530    1.690700
C      0.086550    0.154660   -0.079230
H     -1.545760    1.839260    1.650970
H     -0.013800    2.708050    1.322930
H     -0.989750    0.115650   -0.317270
H      0.542210    0.984440   -0.645310
H      0.553140   -0.790620   -0.403800
",7,C,"['S', 'H', 'H', 'H']",<rdkit.Chem.rdchem.Mol object at 0x00000195F95D3970>,0,,[H]C([H])([H])SC([H])([H])[H].[H]CC[H],[H]C([H])SC([H])([H])[H].[H]CC[H]
